Timestamp;N;Repetition;Q1TimeInMsec;Q2TimeInMsec;Q3TimeInMsec;CustomerTableInByte;ItemTableInByte;JoinTableInByte;NumRecordsToProcess;Type
1485919026;1790000;3;186736;4824610;1485685;171840000;30072000;1208;150;ColumnStore
1485919026;1790000;3;224977;1300995;6205721;171840000;30072000;1208;150;RowStore
1485919027;1790000;4;186930;4990594;1424085;171840000;30072000;1208;150;ColumnStore
1485919028;1790000;4;226615;1331039;6896207;171840000;30072000;1208;150;RowStore
1485919028;1790000;5;203765;5215194;1661098;171840000;30072000;1208;150;ColumnStore
1485919029;1790000;5;178773;1818193;5779557;171840000;30072000;1208;150;RowStore
1485919029;1790000;6;176194;4895065;1890396;171840000;30072000;1208;150;ColumnStore
1485919030;1790000;6;198339;1435084;6265476;171840000;30072000;1208;150;RowStore
1485919030;1790000;7;196762;4559888;1399220;171840000;30072000;1208;150;ColumnStore
1485919031;1790000;7;214956;1932045;6828293;171840000;30072000;1208;150;RowStore
1485919031;1790000;8;218438;4683329;1329051;171840000;30072000;1208;150;ColumnStore
1485919032;1790000;8;190076;1074124;7423189;171840000;30072000;1208;150;RowStore
1485919032;1790000;9;187694;4370842;1298325;171840000;30072000;1208;150;ColumnStore
1485919033;1790000;9;197907;2759332;8230884;171840000;30072000;1208;150;RowStore
1485919033;1790000;10;190784;5164675;1628091;171840000;30072000;1208;150;ColumnStore
1485919034;1790000;10;192226;1299781;5793651;171840000;30072000;1208;150;RowStore
1485919034;1790000;11;181350;5042910;1393734;171840000;30072000;1208;150;ColumnStore
1485919035;1790000;11;227807;1431655;6194875;171840000;30072000;1208;150;RowStore
1485919035;1790000;12;189378;4650794;1352859;171840000;30072000;1208;150;ColumnStore
1485919036;1790000;12;274040;1317627;6527792;171840000;30072000;1208;150;RowStore
1485919037;1790000;13;217307;5216557;1303491;171840000;30072000;1208;150;ColumnStore
1485919037;1790000;13;259395;1282002;6365641;171840000;30072000;1208;150;RowStore
1485919038;1790000;14;181253;4332473;1503332;171840000;30072000;1208;150;ColumnStore
1485919038;1790000;14;183861;1112327;7081317;171840000;30072000;1208;150;RowStore
1485919039;1790000;15;205156;4392146;1267436;171840000;30072000;1208;150;ColumnStore
1485919039;1790000;15;206093;1927995;5781013;171840000;30072000;1208;150;RowStore
1485919040;1790000;16;195162;4816814;1343198;171840000;30072000;1208;150;ColumnStore
1485919040;1790000;16;212645;1686783;8006029;171840000;30072000;1208;150;RowStore
1485919041;1790000;17;196608;4373086;1433662;171840000;30072000;1208;150;ColumnStore
1485919041;1790000;17;205836;1348647;5909782;171840000;30072000;1208;150;RowStore
1485919042;1790000;18;204309;4328238;1404208;171840000;30072000;1208;150;ColumnStore
1485919043;1790000;18;258390;1289509;6672427;171840000;30072000;1208;150;RowStore
1485919043;1790000;19;243286;4345147;1247979;171840000;30072000;1208;150;ColumnStore
1485919044;1790000;19;194046;1817790;7171857;171840000;30072000;1208;150;RowStore
1485919044;1790000;20;197695;4581582;1392796;171840000;30072000;1208;150;ColumnStore
1485919045;1790000;20;216563;1316791;5841010;171840000;30072000;1208;150;RowStore
1485919045;1790000;21;203396;4941854;1190447;171840000;30072000;1208;150;ColumnStore
1485919046;1790000;21;178358;1833399;6463996;171840000;30072000;1208;150;RowStore
1485919046;1790000;22;198508;4602729;1298765;171840000;30072000;1208;150;ColumnStore
1485919047;1790000;22;188258;2190618;8474463;171840000;30072000;1208;150;RowStore
1485919047;1790000;23;239723;4438770;1886145;171840000;30072000;1208;150;ColumnStore
1485919048;1790000;23;226965;1295777;6078969;171840000;30072000;1208;150;RowStore
1485919048;1790000;24;191022;4942097;1118219;171840000;30072000;1208;150;ColumnStore
1485919049;1790000;24;170334;1202623;6916642;171840000;30072000;1208;150;RowStore
1485919049;1790000;25;197745;4841437;1365434;171840000;30072000;1208;150;ColumnStore
1485919050;1790000;25;221341;1348380;5779615;171840000;30072000;1208;150;RowStore
1485919050;1790000;26;168109;4423134;1301192;171840000;30072000;1208;150;ColumnStore
1485919051;1790000;26;236076;1819240;6311485;171840000;30072000;1208;150;RowStore
1485919052;1790000;27;195217;4577089;1194267;171840000;30072000;1208;150;ColumnStore
1485919052;1790000;27;196513;1303438;6343973;171840000;30072000;1208;150;RowStore
1485919053;1790000;28;213077;4292175;1574099;171840000;30072000;1208;150;ColumnStore
1485919053;1790000;28;205073;1548786;5892028;171840000;30072000;1208;150;RowStore
1485919054;1790000;29;161535;4667994;1468368;171840000;30072000;1208;150;ColumnStore
1485919054;1790000;29;218607;1331752;6153239;171840000;30072000;1208;150;RowStore
1485919055;1790000;30;177039;4742627;1596804;171840000;30072000;1208;150;ColumnStore
1485919055;1790000;30;210826;1836570;5964347;171840000;30072000;1208;150;RowStore
1485919056;1790000;31;209219;4347819;1432950;171840000;30072000;1208;150;ColumnStore
1485919056;1790000;31;199058;1131437;6782157;171840000;30072000;1208;150;RowStore
1485919057;1790000;32;283660;4324389;1345841;171840000;30072000;1208;150;ColumnStore
1485919057;1790000;32;231577;1371152;6060329;171840000;30072000;1208;150;RowStore
1485919058;1790000;33;251084;4641654;1318347;171840000;30072000;1208;150;ColumnStore
1485919058;1790000;33;193044;1705141;7127354;171840000;30072000;1208;150;RowStore
1485919059;1790000;34;285430;4616492;1248718;171840000;30072000;1208;150;ColumnStore
1485919060;1790000;34;211229;1215622;6660195;171840000;30072000;1208;150;RowStore
1485919060;1790000;35;229634;4200912;1498700;171840000;30072000;1208;150;ColumnStore
1485919061;1790000;35;285389;1351556;8234798;171840000;30072000;1208;150;RowStore
1485919061;1790000;36;203056;4085655;1253677;171840000;30072000;1208;150;ColumnStore
1485919062;1790000;36;359268;1286925;5960967;171840000;30072000;1208;150;RowStore
1485919062;1790000;37;183097;4946497;1194278;171840000;30072000;1208;150;ColumnStore
1485919063;1790000;37;203916;1240011;6496889;171840000;30072000;1208;150;RowStore
1485919063;1790000;38;210374;4291974;1333210;171840000;30072000;1208;150;ColumnStore
1485919064;1790000;38;218299;1231371;5782145;171840000;30072000;1208;150;RowStore
1485919064;1790000;39;245517;4734335;1311953;171840000;30072000;1208;150;ColumnStore
1485919065;1790000;39;219714;1322345;6729246;171840000;30072000;1208;150;RowStore
1485919065;1790000;40;198050;4602516;1320431;171840000;30072000;1208;150;ColumnStore
1485919066;1790000;40;210211;2309785;7191218;171840000;30072000;1208;150;RowStore
1485919066;1790000;41;192895;4462046;1277434;171840000;30072000;1208;150;ColumnStore
1485919067;1790000;41;189046;1944215;8307003;171840000;30072000;1208;150;RowStore
1485919067;1790000;42;181774;4737560;1518254;171840000;30072000;1208;150;ColumnStore
1485919068;1790000;42;199077;1317595;5760218;171840000;30072000;1208;150;RowStore
1485919069;1790000;43;183564;4816499;1199236;171840000;30072000;1208;150;ColumnStore
1485919069;1790000;43;210123;1438772;7938852;171840000;30072000;1208;150;RowStore
1485919070;1790000;44;200214;4456073;1666881;171840000;30072000;1208;150;ColumnStore
1485919070;1790000;44;335634;1349202;8889122;171840000;30072000;1208;150;RowStore
1485919071;1790000;45;202874;4506490;1271606;171840000;30072000;1208;150;ColumnStore
1485919071;1790000;45;215574;1744578;9325175;171840000;30072000;1208;150;RowStore
1485919072;1790000;46;196387;4680987;1287710;171840000;30072000;1208;150;ColumnStore
1485919072;1790000;46;191426;1315195;8228655;171840000;30072000;1208;150;RowStore
1485919073;1790000;47;295175;4653231;1275784;171840000;30072000;1208;150;ColumnStore
1485919073;1790000;47;190685;1677349;7802441;171840000;30072000;1208;150;RowStore
1485919074;1790000;48;210020;4656932;1283021;171840000;30072000;1208;150;ColumnStore
1485919075;1790000;48;202552;1321085;6270549;171840000;30072000;1208;150;RowStore
1485919075;1790000;49;270465;5387902;1349056;171840000;30072000;1208;150;ColumnStore
1485919076;1790000;49;186955;1672156;6168290;171840000;30072000;1208;150;RowStore
1485919077;3280000;0;201953;4583947;2842313;314880000;55104000;1208;150;ColumnStore
1485919078;3280000;0;282330;1819397;12548647;314880000;55104000;1208;150;RowStore
1485919079;3280000;1;170462;5139785;2196906;314880000;55104000;1208;150;ColumnStore
1485919080;3280000;1;205688;1223523;16206894;314880000;55104000;1208;150;RowStore
1485919081;3280000;2;228347;5503689;2510357;314880000;55104000;1208;150;ColumnStore
1485919082;3280000;2;215970;1371708;10463311;314880000;55104000;1208;150;RowStore
1485919083;3280000;3;194619;5654437;2045086;314880000;55104000;1208;150;ColumnStore
1485919084;3280000;3;206627;1199087;13027423;314880000;55104000;1208;150;RowStore
1485919085;3280000;4;196261;5174163;2406976;314880000;55104000;1208;150;ColumnStore
1485919086;3280000;4;251347;1583569;14304555;314880000;55104000;1208;150;RowStore
1485919087;3280000;5;162333;5825390;2834867;314880000;55104000;1208;150;ColumnStore
1485919088;3280000;5;211310;2226460;12221069;314880000;55104000;1208;150;RowStore
1485919089;3280000;6;192800;4827604;2720503;314880000;55104000;1208;150;ColumnStore
1485919090;3280000;6;204296;1236611;14404647;314880000;55104000;1208;150;RowStore
1485919091;3280000;7;207247;4674091;2218452;314880000;55104000;1208;150;ColumnStore
1485919092;3280000;7;351958;1389541;11083774;314880000;55104000;1208;150;RowStore
1485919093;3280000;8;187453;4417074;2855212;314880000;55104000;1208;150;ColumnStore
