Timestamp;N;Repetition;Q1TimeInMsec;Q2TimeInMsec;CustomerTableInByte;ItemTableInByte;JoinTableInByte
1485895464;234100;15;5178063;8122441;22473600;5618400000;800160
1485895474;234100;16;5692228;8815424;22473600;5618400000;799776
1485895484;234100;17;4174101;8877233;22473600;5618400000;800184
1485895494;234100;18;6129398;8536975;22473600;5618400000;800016
1485895505;234100;19;5937339;8811435;22473600;5618400000;800144
1485895517;267400;0;5301488;9975724;25670400;6417600000;800808
1485895529;267400;1;5101396;10384467;25670400;6417600000;800048
1485895541;267400;2;5711523;9382226;25670400;6417600000;800184
1485895553;267400;3;6016365;11215130;25670400;6417600000;799368
1485895566;267400;4;6629860;7823932;25670400;6417600000;800744
1485895578;267400;5;5004027;9710358;25670400;6417600000;800656
1485895590;267400;6;6007093;9783305;25670400;6417600000;798424
1485895601;267400;7;8690811;16738897;25670400;6417600000;798184
1485895613;267400;8;4663487;9317191;25670400;6417600000;799800
1485895625;267400;9;4352094;7754079;25670400;6417600000;799568
1485895639;267400;10;5273390;9882596;25670400;6417600000;799968
1485895652;267400;11;5545739;9879531;25670400;6417600000;799592
1485895664;267400;12;4647105;9858659;25670400;6417600000;799480
1485895677;267400;13;4641306;8773346;25670400;6417600000;800824
1485895690;267400;14;4009552;8551238;25670400;6417600000;799104
1485895702;267400;15;5975915;13994166;25670400;6417600000;798784
1485895715;267400;16;4322376;10953101;25670400;6417600000;801696
1485895728;267400;17;5057852;9656969;25670400;6417600000;800208
1485895740;267400;18;5934261;8678164;25670400;6417600000;799704
1485895752;267400;19;3942420;9079637;25670400;6417600000;800832
1485895766;300700;0;4698408;10046497;28867200;7216800000;798248
1485895781;300700;1;8986467;17178976;28867200;7216800000;799552
1485895795;300700;2;5164184;11729294;28867200;7216800000;800248
1485895809;300700;3;4996631;9737667;28867200;7216800000;800256
1485895822;300700;4;4795756;10122132;28867200;7216800000;800536
1485895836;300700;5;5040222;8714945;28867200;7216800000;799744
1485895849;300700;6;4144340;12374100;28867200;7216800000;798984
1485895863;300700;7;5848778;10022544;28867200;7216800000;800296
1485895877;300700;8;5317696;10874256;28867200;7216800000;798864
1485895891;300700;9;4377576;11098062;28867200;7216800000;800968
1485895905;300700;10;4720226;7956474;28867200;7216800000;800904
1485895918;300700;11;4528554;11116373;28867200;7216800000;800064
1485895933;300700;12;4520765;8844684;28867200;7216800000;798800
1485895946;300700;13;5329004;9883914;28867200;7216800000;799712
1485895960;300700;14;4256699;8578841;28867200;7216800000;800656
1485895974;300700;15;4850640;11143184;28867200;7216800000;800088
