Timestamp;N;Repetition;Q1TimeInNanoSec_SingleThreaded;Q2TimeInNanoSec_SingleThreaded;Q3TimeInNanoSec_SingleThreaded;Q1TimeInNanoSec_MultiThreaded;Q2TimeInNanoSec_MultiThreaded;Q3TimeInNanoSec_MultiThreaded;CustomerTableInByte;ItemTableInByte;JoinTableInByte;NumRecordsToProcess;Type
1486130514;30280000;3;1437;6603058;16618342;370232;4409172;13546130;2906880000;508704000;1208;150;ColumnStore
1486130529;30280000;3;1400;1705817;38787936;406258;1766601;31748499;2906880000;508704000;1208;150;RowStore
1486130543;30280000;4;1331;6585605;16422983;396420;4835305;14160707;2906880000;508704000;1208;150;ColumnStore
1486130557;30280000;4;1599;1675207;38785427;528511;2064359;32806714;2906880000;508704000;1208;150;RowStore
1486130573;30280000;5;1277;7146954;16284331;361700;4885077;13886077;2906880000;508704000;1208;150;ColumnStore
1486130587;30280000;5;1561;1740400;38748849;260340;2035133;33588235;2906880000;508704000;1208;150;RowStore
1486130602;30280000;6;1434;6656027;16716125;373134;5011353;14006947;2906880000;508704000;1208;150;ColumnStore
1486130617;30280000;6;1492;1705874;38279524;269044;2125008;32206262;2906880000;508704000;1208;150;RowStore
1486130633;30280000;7;1293;6530018;16226101;512646;5525466;14819382;2906880000;508704000;1208;150;ColumnStore
1486130647;30280000;7;1485;1718477;39081013;376157;2057319;32672512;2906880000;508704000;1208;150;RowStore
1486130663;30280000;8;1257;6535363;16588319;389363;4870708;13851814;2906880000;508704000;1208;150;ColumnStore
1486130677;30280000;8;1434;1654879;38606530;717846;2032713;32317557;2906880000;508704000;1208;150;RowStore
1486130692;30280000;9;1595;6502968;16668292;432081;5020484;13344195;2906880000;508704000;1208;150;ColumnStore
1486130706;30280000;9;1504;1680983;38568314;214206;2044182;33287536;2906880000;508704000;1208;150;RowStore
1486130721;30280000;10;1352;6555863;16524557;536120;5118800;13323441;2906880000;508704000;1208;150;ColumnStore
1486130735;30280000;10;1518;1657687;39698887;326448;2014938;32458459;2906880000;508704000;1208;150;RowStore
1486130751;30280000;11;1332;6576486;18015350;415353;6282031;13354811;2906880000;508704000;1208;150;ColumnStore
1486130765;30280000;11;1356;1665404;38633225;399538;2042335;31936728;2906880000;508704000;1208;150;RowStore
1486130780;30280000;12;1453;6564073;17155423;461522;4374811;14076467;2906880000;508704000;1208;150;ColumnStore
1486130795;30280000;12;1424;1704192;38108456;254335;2148331;31737796;2906880000;508704000;1208;150;RowStore
1486130810;30280000;13;1283;6744253;16746054;232117;5828610;13367863;2906880000;508704000;1208;150;ColumnStore
1486130824;30280000;13;1486;1683028;38091581;427331;1931495;32212075;2906880000;508704000;1208;150;RowStore
1486130840;30280000;14;1343;6479433;16818691;150944;4742589;14323786;2906880000;508704000;1208;150;ColumnStore
1486130854;30280000;14;1872;1651946;38626996;277903;2110025;33873971;2906880000;508704000;1208;150;RowStore
1486130878;45270000;0;7443;7647690;27119008;2349779;5078111;20317170;4345920000;760536000;1208;150;ColumnStore
1486130901;45270000;0;10314;2036785;71472987;322402;2331367;49418354;4345920000;760536000;1208;150;RowStore
1486130924;45270000;1;1386;6537340;24612769;760366;4517642;19307727;4345920000;760536000;1208;150;ColumnStore
1486130946;45270000;1;3236;1750150;63163719;123384;1802265;51247449;4345920000;760536000;1208;150;RowStore
1486130970;45270000;2;1361;6564956;24655770;125639;4261925;20693196;4345920000;760536000;1208;150;ColumnStore
1486130991;45270000;2;3213;1676251;60527297;177433;1619899;49838345;4345920000;760536000;1208;150;RowStore
1486131015;45270000;3;1507;6498896;28330599;148087;4426164;20191005;4345920000;760536000;1208;150;ColumnStore
1486131038;45270000;3;2558;1715460;59002531;177842;1846434;48735158;4345920000;760536000;1208;150;RowStore
1486131061;45270000;4;1416;6506694;26477642;271546;4318284;19512090;4345920000;760536000;1208;150;ColumnStore
1486131082;45270000;4;2588;1721174;61551503;309947;2011207;48587363;4345920000;760536000;1208;150;RowStore
1486131106;45270000;5;1381;6745630;27668541;397859;4599328;20368638;4345920000;760536000;1208;150;ColumnStore
1486131128;45270000;5;2599;1907352;58968581;192113;1860924;53567096;4345920000;760536000;1208;150;RowStore
1486131152;45270000;6;1457;6575778;24324486;259024;4562716;19645541;4345920000;760536000;1208;150;ColumnStore
1486131174;45270000;6;2802;1764985;59354443;338656;1841493;50096591;4345920000;760536000;1208;150;RowStore
1486131198;45270000;7;1332;6482720;24792836;171920;4318467;20162643;4345920000;760536000;1208;150;ColumnStore
1486131219;45270000;7;2371;1677442;59532492;345200;2041933;48682317;4345920000;760536000;1208;150;RowStore
1486131243;45270000;8;1325;6893889;24815428;486886;5110827;20329735;4345920000;760536000;1208;150;ColumnStore
1486131265;45270000;8;1749;1682553;58262967;368949;1779909;48760945;4345920000;760536000;1208;150;RowStore
1486131288;45270000;9;1419;6589771;27845821;329775;6446246;21296169;4345920000;760536000;1208;150;ColumnStore
1486131309;45270000;9;1523;1775309;58947310;757118;1941654;49053445;4345920000;760536000;1208;150;RowStore
1486131333;45270000;10;1418;6517139;25320300;213771;6973572;19488978;4345920000;760536000;1208;150;ColumnStore
1486131354;45270000;10;1547;1744732;58864738;387059;2077290;49768972;4345920000;760536000;1208;150;RowStore
1486131377;45270000;11;1341;6507379;24717548;296822;4388138;20508088;4345920000;760536000;1208;150;ColumnStore
1486131398;45270000;11;1579;1728654;59728699;411477;2053669;50391884;4345920000;760536000;1208;150;RowStore
1486131421;45270000;12;1415;6508577;24433265;492053;4816553;20177925;4345920000;760536000;1208;150;ColumnStore
1486131442;45270000;12;1569;1806991;58290554;413524;1605699;49904128;4345920000;760536000;1208;150;RowStore
1486131465;45270000;13;1411;6558497;24803135;401246;4269519;21038304;4345920000;760536000;1208;150;ColumnStore
1486131486;45270000;13;1646;1762912;58288680;236326;1456998;51493116;4345920000;760536000;1208;150;RowStore
1486131509;45270000;14;1371;6475737;24451826;247363;4294703;19913483;4345920000;760536000;1208;150;ColumnStore
1486131530;45270000;14;1503;1666798;60864717;343122;1913369;49291222;4345920000;760536000;1208;150;RowStore
1486131568;60260000;0;3323;7535429;34031422;436468;4963000;26230803;5784960000;1012368000;1208;150;ColumnStore
1486131596;60260000;0;3383;1747008;84758713;422985;2217801;66725660;5784960000;1012368000;1208;150;RowStore
1486131632;60260000;1;1537;6731868;33049580;311468;5601560;26024197;5784960000;1012368000;1208;150;ColumnStore
1486131660;60260000;1;1694;1687682;79190198;758590;1920387;67154266;5784960000;1012368000;1208;150;RowStore
1486131694;60260000;2;1430;6627524;32891712;845635;4915428;25466009;5784960000;1012368000;1208;150;ColumnStore
1486131723;60260000;2;2321;1686745;79716244;449344;1893920;64068218;5784960000;1012368000;1208;150;RowStore
1486131758;60260000;3;1452;6539932;33070717;326541;5569571;25987974;5784960000;1012368000;1208;150;ColumnStore
1486131786;60260000;3;1662;1760373;79009623;497078;2042268;65960479;5784960000;1012368000;1208;150;RowStore
1486131819;60260000;4;1521;6656823;32408024;422835;4362388;25783350;5784960000;1012368000;1208;150;ColumnStore
1486131848;60260000;4;1640;1803024;78830502;407987;2117098;64610891;5784960000;1012368000;1208;150;RowStore
