timestamp;NumberOfCustomers;CurrentRepetition;DurationQ1SingleThreaded;DurationQ2SingleThreaded;DurationQ3SingleThreaded;DurationQ1MultiThreaded;DurationQ2MultiThreaded;DurationQ3MultiThreaded;dataSetSizeCustomersInByte;dataSetSizeItemsInByte;dataSetSizeJoinTableInByte;NumberOfRecordsToProcess;Q1NumRecordsToProcess;Unset1;Q1NumRecordToProcessedDeRefSize;Q2NumRecordsToProcess;Unset2;Q2NumRecordToProcessedDeRefSize;Q3NumRecordsToProcess;Unset3;Q3NumRecordToProcessedDeRefSize;Q1GBpsecSingleThreaded;Q2GBpsecSingleThreaded;Q3GBpsecSingleThreaded;Q1GBpsecMultiThreaded;Q2GBpsecMultiThreaded;Q3GBpsecMultiThreaded;Type;Platform;ProcessVmSize
1486170392;3466666;10;0;9139213;1023477;0;3425189;445765;388266592;77653312;19413328;2426666;0;0;0;2426666;0;80;2426666;0;8;0.000000;21.241795;18.968018;0.000000;56.678120;43.550587;ColumnStore;Device;0.412109
1486170393;3466666;11;1436;5998309;1894299;337148;5812137;2788085;388266592;77653312;1200;150;150;0;8;150;0;112;2426666;0;8;0.835655;0.002801;10.248291;0.003559;0.002891;6.962961;ColumnStore;Host;0.412109
1486170395;3466666;11;1981;1534194;4281800;272242;1910996;4114852;388266592;77653312;1200;150;150;0;32;150;0;112;2426666;0;32;2.423019;0.010950;18.135672;0.017631;0.008791;18.871471;RowStore;Host;0.412109
1486170397;3466666;11;0;9141931;1016605;0;3432945;435359;388266592;77653312;19413328;2426666;0;0;0;2426666;0;80;2426666;0;8;0.000000;21.235477;19.096235;0.000000;56.550068;44.591541;ColumnStore;Device;0.412109
1486170398;3466666;12;1483;6075287;1833351;336215;6230651;2305419;388266592;77653312;1200;150;150;0;8;150;0;112;2426666;0;8;0.809171;0.002765;10.588986;0.003569;0.002696;8.420737;ColumnStore;Host;0.412109
1486170400;3466666;12;1820;1575465;4749412;175848;1919879;4958412;388266592;77653312;1200;150;150;0;32;150;0;112;2426666;0;32;2.637363;0.010664;16.350088;0.027296;0.008751;15.660923;RowStore;Host;0.412109
1486170402;3466666;12;0;9146428;1019196;0;3431345;473218;388266592;77653312;19413328;2426666;0;0;0;2426666;0;80;2426666;0;8;0.000000;21.225039;19.047688;0.000000;56.576439;41.024067;ColumnStore;Device;0.412109
1486170403;3466666;13;1383;6003688;1825212;325522;5334884;2511592;388266592;77653312;1200;150;150;0;8;150;0;112;2426666;0;8;0.867679;0.002798;10.636204;0.003686;0.003149;7.729491;ColumnStore;Host;0.412109
1486170405;3466666;13;2015;1575585;4317553;403358;1802306;4670552;388266592;77653312;1200;150;150;0;32;150;0;112;2426666;0;32;2.382134;0.010663;17.985493;0.011900;0.009321;16.626152;RowStore;Host;0.412109
1486170406;3466666;13;0;9142755;1025148;0;3394464;432856;388266592;77653312;19413328;2426666;0;0;0;2426666;0;80;2426666;0;8;0.000000;21.233566;18.937098;0.000000;57.191143;44.849392;ColumnStore;Device;0.412109
